Target,Formula
369,La0.7Sr0.3MnO3
330,La0.7Sr0.3Mn0.95Fe0.05O3
326,La0.7Sr0.3Mn0.9Cr0.1O3
304,La0.7Sr0.3Mn0.85Cr0.15O3
175,La0.7Sr0.3Mn0.85Fe0.15O3
328,La0.7Ba0.3MnO3
300,La0.68Nd0.02Ba0.3Mn0.9Cr0.1O3
298,La0.7Sr0.3Mn0.9Cr0.1O3
261,La0.7Sr0.3Mn0.9Fe0.1O3
215,La0.7Ba0.3Mn0.9Fe0.1O3
275,La0.67Ca0.33MnO3
358,La0.57Dy0.1Sr0.33MnO3
232,La0.6Sr0.1Cu0.3MnO3
323,La0.65Ca0.18Sr0.17MnO3
314,La0.67Ba0.33Mn0.98Ti0.02O3
315,La0.7Ca0.2Sr0.1MnO3
250,La0.65Nd0.05Ca0.3MnO3
354,La0.6Sr0.2Ba0.2MnO3
281,La0.8Ba0.1Ca0.1Mn0.97Fe0.03O3
160,La0.9Mg0.1MnO3
295,La0.8Ba0.2MnO3
350,La0.67Ba0.23Ca0.1MnO3
